# SYNTHETIC DATA - NOT A REAL CLIENT. Acme Widgets LLC, tax year 2025, ship-to state sales. Lines starting with # are comments.
transaction_id,date,ship_to_state,amount_usd,channel
TXN-00001,2025-01-01,CA,773.32,website
TXN-00002,2025-01-01,CA,785.92,website
TXN-00003,2025-01-01,CO,833.35,website
TXN-00004,2025-01-01,CO,1117.28,website
TXN-00005,2025-01-01,CO,1294.14,marketplace
TXN-00006,2025-01-01,TX,951.96,website
TXN-00007,2025-01-01,WA,385.66,wholesale
TXN-00008,2025-01-02,CA,698.59,website
TXN-00009,2025-01-02,CA,1034.81,website
TXN-00010,2025-01-02,CO,691.95,marketplace
TXN-00011,2025-01-02,CO,1301.51,website
TXN-00012,2025-01-02,TX,424.31,website
TXN-00013,2025-01-03,CO,451.32,website
TXN-00014,2025-01-03,CO,498.33,marketplace
TXN-00015,2025-01-03,CO,574.36,marketplace
TXN-00016,2025-01-03,CO,769.74,wholesale
TXN-00017,2025-01-03,CO,1039.50,website
TXN-00018,2025-01-03,CO,1166.67,website
TXN-00019,2025-01-03,CO,1290.83,wholesale
TXN-00020,2025-01-03,TX,481.41,website
TXN-00021,2025-01-03,TX,569.02,wholesale
TXN-00022,2025-01-04,CA,975.45,website
TXN-00023,2025-01-04,CO,811.55,website
TXN-00024,2025-01-04,CO,946.27,wholesale
TXN-00025,2025-01-04,CO,991.22,wholesale
TXN-00026,2025-01-04,CO,1283.07,wholesale
TXN-00027,2025-01-04,FL,528.40,wholesale
TXN-00028,2025-01-04,TX,532.82,website
TXN-00029,2025-01-04,TX,654.75,wholesale
TXN-00030,2025-01-04,WA,496.09,website
TXN-00031,2025-01-04,WA,718.62,wholesale
TXN-00032,2025-01-05,CA,704.95,website
TXN-00033,2025-01-05,CO,671.02,website
TXN-00034,2025-01-05,CO,730.69,wholesale
TXN-00035,2025-01-05,CO,1167.88,website
TXN-00036,2025-01-05,CO,1210.21,wholesale
TXN-00037,2025-01-05,CO,1216.29,website
TXN-00038,2025-01-05,TX,448.58,wholesale
TXN-00039,2025-01-05,TX,468.82,marketplace
TXN-00040,2025-01-05,TX,524.31,wholesale
TXN-00041,2025-01-05,TX,845.50,website
TXN-00042,2025-01-05,TX,986.60,website
TXN-00043,2025-01-05,WA,472.16,wholesale
TXN-00044,2025-01-05,WA,719.95,website
TXN-00045,2025-01-06,CA,536.23,website
TXN-00046,2025-01-06,CO,453.92,website
TXN-00047,2025-01-06,CO,640.91,website
TXN-00048,2025-01-06,CO,712.49,wholesale
TXN-00049,2025-01-06,CO,725.05,website
TXN-00050,2025-01-06,CO,976.07,website
TXN-00051,2025-01-06,CO,1035.31,wholesale
TXN-00052,2025-01-06,CO,1079.62,wholesale
TXN-00053,2025-01-06,TX,383.83,website
TXN-00054,2025-01-06,TX,549.05,wholesale
TXN-00055,2025-01-06,TX,743.62,website
TXN-00056,2025-01-06,WA,741.21,website
TXN-00057,2025-01-07,CA,930.09,wholesale
TXN-00058,2025-01-07,CO,632.54,wholesale
TXN-00059,2025-01-07,CO,942.40,website
TXN-00060,2025-01-07,CO,974.12,website
TXN-00061,2025-01-07,TX,970.08,website
TXN-00062,2025-01-07,WA,305.70,website
TXN-00063,2025-01-07,WA,484.58,website
TXN-00064,2025-01-08,CA,443.10,website
TXN-00065,2025-01-08,CA,522.53,website
TXN-00066,2025-01-08,CA,668.56,wholesale
TXN-00067,2025-01-08,CO,518.91,website
TXN-00068,2025-01-08,CO,788.17,website
TXN-00069,2025-01-08,CO,882.59,marketplace
TXN-00070,2025-01-08,CO,1120.49,wholesale
TXN-00071,2025-01-08,TX,743.51,website
TXN-00072,2025-01-08,TX,818.93,website
TXN-00073,2025-01-08,TX,1019.10,website
TXN-00074,2025-01-09,CA,852.95,wholesale
TXN-00075,2025-01-09,CO,608.67,website
TXN-00076,2025-01-09,CO,1083.08,website
TXN-00077,2025-01-09,CO,1293.51,website
TXN-00078,2025-01-09,FL,883.00,website
TXN-00079,2025-01-09,TX,390.95,website
TXN-00080,2025-01-09,TX,424.20,wholesale
TXN-00081,2025-01-09,TX,533.04,wholesale
TXN-00082,2025-01-09,TX,649.54,website
TXN-00083,2025-01-09,TX,796.65,website
TXN-00084,2025-01-09,WA,550.98,marketplace
TXN-00085,2025-01-10,CO,798.80,website
TXN-00086,2025-01-10,CO,885.42,website
TXN-00087,2025-01-10,FL,494.25,website
TXN-00088,2025-01-11,CO,666.53,wholesale
TXN-00089,2025-01-11,CO,778.43,website
TXN-00090,2025-01-11,CO,1188.75,website
TXN-00091,2025-01-11,CO,1270.38,website
TXN-00092,2025-01-11,TX,534.25,marketplace
TXN-00093,2025-01-11,TX,637.31,marketplace
TXN-00094,2025-01-11,TX,967.29,website
TXN-00095,2025-01-11,WA,544.87,wholesale
TXN-00096,2025-01-12,CO,729.89,website
TXN-00097,2025-01-12,CO,915.84,wholesale
TXN-00098,2025-01-12,CO,1053.51,website
TXN-00099,2025-01-12,CO,1053.76,marketplace
TXN-00100,2025-01-12,CO,1122.65,wholesale
TXN-00101,2025-01-12,CO,1140.47,wholesale
TXN-00102,2025-01-12,CO,1309.77,website
TXN-00103,2025-01-12,TX,453.29,website
TXN-00104,2025-01-12,TX,471.21,wholesale
TXN-00105,2025-01-12,TX,568.49,wholesale
TXN-00106,2025-01-13,CO,960.59,wholesale
TXN-00107,2025-01-13,CO,999.21,website
TXN-00108,2025-01-13,CO,1278.46,wholesale
TXN-00109,2025-01-13,TX,453.38,website
TXN-00110,2025-01-13,TX,605.46,website
TXN-00111,2025-01-13,TX,876.15,wholesale
TXN-00112,2025-01-13,TX,940.30,website
TXN-00113,2025-01-13,TX,1011.95,marketplace
TXN-00114,2025-01-14,CA,678.42,wholesale
TXN-00115,2025-01-14,CO,479.28,website
TXN-00116,2025-01-14,CO,1260.24,marketplace
TXN-00117,2025-01-14,CO,1274.34,wholesale
TXN-00118,2025-01-14,CO,1303.93,website
TXN-00119,2025-01-14,CO,1333.03,wholesale
TXN-00120,2025-01-14,TX,461.45,wholesale
TXN-00121,2025-01-14,WA,395.55,website
TXN-00122,2025-01-15,CA,559.06,wholesale
TXN-00123,2025-01-15,CA,904.86,website
TXN-00124,2025-01-15,CO,553.22,website
TXN-00125,2025-01-15,CO,762.37,website
TXN-00126,2025-01-15,CO,1257.31,marketplace
TXN-00127,2025-01-15,TX,587.43,website
TXN-00128,2025-01-15,TX,712.11,wholesale
TXN-00129,2025-01-15,WA,389.13,website
TXN-00130,2025-01-15,WA,786.41,website
TXN-00131,2025-01-16,CA,716.55,wholesale
TXN-00132,2025-01-16,CA,943.61,website
TXN-00133,2025-01-16,CO,545.47,wholesale
TXN-00134,2025-01-16,CO,599.25,website
TXN-00135,2025-01-16,CO,605.54,wholesale
TXN-00136,2025-01-16,CO,1069.04,website
TXN-00137,2025-01-16,CO,1095.48,website
TXN-00138,2025-01-16,CO,1321.63,website
TXN-00139,2025-01-16,TX,381.34,website
TXN-00140,2025-01-16,TX,533.95,marketplace
TXN-00141,2025-01-16,TX,754.36,wholesale
TXN-00142,2025-01-16,TX,947.21,website
TXN-00143,2025-01-17,CO,623.03,website
TXN-00144,2025-01-17,WA,755.02,website
TXN-00145,2025-01-18,CA,562.88,website
TXN-00146,2025-01-18,CA,854.40,website
TXN-00147,2025-01-18,CO,653.37,website
TXN-00148,2025-01-18,CO,787.24,website
TXN-00149,2025-01-18,CO,927.64,website
TXN-00150,2025-01-18,CO,972.00,website
TXN-00151,2025-01-18,CO,1085.20,website
TXN-00152,2025-01-18,FL,490.40,wholesale
TXN-00153,2025-01-18,TX,596.14,wholesale
TXN-00154,2025-01-18,TX,832.29,website
TXN-00155,2025-01-18,WA,749.59,wholesale
TXN-00156,2025-01-19,CA,989.50,website
TXN-00157,2025-01-19,CO,459.99,wholesale
TXN-00158,2025-01-19,CO,570.00,marketplace
TXN-00159,2025-01-19,CO,889.04,wholesale
TXN-00160,2025-01-19,CO,1081.33,website
TXN-00161,2025-01-19,TX,492.48,website
TXN-00162,2025-01-19,TX,543.74,website
TXN-00163,2025-01-19,TX,997.42,wholesale
TXN-00164,2025-01-20,CA,381.39,website
TXN-00165,2025-01-20,CA,395.64,website
TXN-00166,2025-01-20,CO,688.54,website
TXN-00167,2025-01-20,CO,927.38,wholesale
TXN-00168,2025-01-20,NY,870.53,marketplace
TXN-00169,2025-01-20,TX,616.06,wholesale
TXN-00170,2025-01-20,TX,758.22,wholesale
TXN-00171,2025-01-20,TX,810.78,wholesale
TXN-00172,2025-01-20,WA,771.32,wholesale
TXN-00173,2025-01-21,CA,1014.33,wholesale
TXN-00174,2025-01-21,CA,1064.68,wholesale
TXN-00175,2025-01-21,CO,677.80,website
TXN-00176,2025-01-21,CO,795.15,wholesale
TXN-00177,2025-01-21,CO,941.29,website
TXN-00178,2025-01-21,CO,1114.95,website
TXN-00179,2025-01-21,CO,1194.28,website
TXN-00180,2025-01-21,CO,1331.39,wholesale
TXN-00181,2025-01-21,TX,743.41,website
TXN-00182,2025-01-21,TX,858.78,marketplace
TXN-00183,2025-01-21,TX,960.34,website
TXN-00184,2025-01-21,TX,999.15,website
TXN-00185,2025-01-21,WA,315.16,marketplace
TXN-00186,2025-01-22,CO,567.72,wholesale
TXN-00187,2025-01-22,CO,847.20,website
TXN-00188,2025-01-22,CO,953.30,wholesale
TXN-00189,2025-01-22,CO,1196.83,website
TXN-00190,2025-01-22,TX,453.49,website
TXN-00191,2025-01-23,CA,460.37,website
TXN-00192,2025-01-23,CO,782.91,website
TXN-00193,2025-01-23,CO,800.04,website
TXN-00194,2025-01-23,CO,1151.86,wholesale
TXN-00195,2025-01-23,CO,1163.65,website
TXN-00196,2025-01-23,CO,1172.15,website
TXN-00197,2025-01-23,NY,1017.89,wholesale
TXN-00198,2025-01-23,TX,838.78,website
TXN-00199,2025-01-23,TX,1014.49,website
TXN-00200,2025-01-23,WA,407.43,website
TXN-00201,2025-01-23,WA,577.03,wholesale
TXN-00202,2025-01-24,CA,485.46,website
TXN-00203,2025-01-24,CA,716.30,wholesale
TXN-00204,2025-01-24,CO,738.79,website
TXN-00205,2025-01-24,CO,951.48,website
TXN-00206,2025-01-24,CO,1139.26,website
TXN-00207,2025-01-24,TX,565.30,marketplace
TXN-00208,2025-01-24,TX,709.70,marketplace
TXN-00209,2025-01-24,TX,751.74,wholesale
TXN-00210,2025-01-25,CA,571.37,website
TXN-00211,2025-01-25,CO,448.01,marketplace
TXN-00212,2025-01-25,CO,634.52,website
TXN-00213,2025-01-25,CO,694.55,website
TXN-00214,2025-01-25,CO,777.74,wholesale
TXN-00215,2025-01-25,CO,788.66,wholesale
TXN-00216,2025-01-25,CO,882.22,website
TXN-00217,2025-01-25,CO,920.17,website
TXN-00218,2025-01-25,TX,423.10,wholesale
TXN-00219,2025-01-25,TX,687.82,wholesale
TXN-00220,2025-01-25,TX,946.53,website
TXN-00221,2025-01-25,WA,614.55,wholesale
TXN-00222,2025-01-25,WA,710.02,website
TXN-00223,2025-01-26,CA,798.08,website
TXN-00224,2025-01-26,CA,860.77,website
TXN-00225,2025-01-26,CO,858.24,marketplace
TXN-00226,2025-01-26,CO,1129.98,website
TXN-00227,2025-01-26,WA,333.82,website
TXN-00228,2025-01-27,CO,589.33,website
TXN-00229,2025-01-27,CO,870.75,website
TXN-00230,2025-01-27,CO,933.44,website
